國家/自然公園別,遊憩據點數,陸域_面積,海域_面積,陸域_生態保護區,海域_生態保護區,陸域_特別景觀區,海域_特別景觀區,陸域_史蹟保存區,海域_史蹟保存區,陸域_遊憩區,海域_遊憩區,陸域_一般管制區,海域_一般管制區,動物,哺乳類,爬蟲類,兩棲類,昆蟲類,鳥類,魚類,貝殼類,珊瑚類,甲殼類,其他,植物,違法行為,違建,濫墾或變更使用,狩獵動物或捕捉魚類,採折花木,設置攤販,擅入生態保護區及禁止進入地區,污染環境,盜採鐘乳石/珊瑚礁/土石,車輛禁止進入地區,其他經各管理處禁止之行為,其他未經各管理處許可之行為,總計團次,總計人次,學校機關團次,學校機關人次,社會團體團次,社會團體人次,政府機關團次,政府機關人次,一般遊客團次,一般遊客人次,外國遊客團次,外國遊客人次
墾丁,13,17678.98,14891.16,5507.02,714.97,1643.77,270.12,12.36,0,384.78,309.68,10131.05,13596.39,5711,42,58,22,1754,336,1441,736,399,411,512,1688,269,42,0,34,3,0,23,2,1,35,111,18,23615,880524,1965,78607,962,34796,511,18006,19529,726791,648,22324
玉山,7,103121.4,0,73622.3,0,3393.1,0,279.7,0,240.2,0,25586.1,0,2000,65,46,21,1580,233,16,34,0,4,1,2745,41,0,0,0,0,0,13,1,0,2,25,0,42573,454240,45,1580,12307,72740,22,1087,29774,377523,425,1310
陽明山,9,11338,0,2115,0,5378,0,22,0,270,0,3553,0,1569,34,54,23,1284,123,27,5,0,6,13,1997,198,21,6,0,1,10,51,2,0,69,32,6,111712,964322,1534,14437,25287,124341,434,3883,79585,795481,4872,26180
太魯閣,3,92000,0,66240,0,22630,0,40,0,300,0,2790,0,2388,62,41,19,1912,232,43,55,0,24,0,2093,583,0,0,0,0,1,21,1,0,4,494,62,4607,569732,49,2058,48,1834,50,1842,4252,549162,208,14836
雪霸,4,76547.08,0,51454.52,0,2132.82,0,41.19,0,85.64,0,22832.91,0,892,62,39,16,580,154,17,18,0,0,6,2212,31,0,1,0,0,0,12,0,0,0,18,0,154279,890409,92,2648,7809,166271,57,1671,145993,719097,328,722
金門,11,3528.74,0,0,0,1525.91,0,0.34,0,266.86,0,1735.63,0,2026,15,14,5,1016,387,87,216,0,0,286,640,49,3,0,5,1,0,0,0,0,22,0,18,151806,1612228,158,4439,5293,129782,354,3679,144561,1465715,1440,8613
東沙,1,178.57,353489.38,0,57660.53,132.96,295810.27,1.57,0,0,0,44.04,18.58,2251,5,4,0,144,297,731,447,399,174,50,520,0,0,0,0,0,0,0,0,0,0,0,0,1480,4530,13,286,18,565,1,5,1442,3657,6,17
台江,1,5090.21,35641.1,624.97,0,1618.02,0,16.31,0,40.57,0,2790.34,35641.1,2390,33,20,6,800,303,798,205,0,225,0,533,65,0,0,40,2,0,8,1,0,5,1,8,20946,288733,245,10607,251,15531,70,2803,20190,258871,190,921
澎湖南方四島,2,370.29,35473.33,0,70.94,317.51,16600.03,0,0,0,25.61,52.78,18776.75,1242,5,9,2,33,116,545,203,209,74,46,401,1,0,0,0,0,0,0,0,0,0,1,0,633,22391,1,5,0,0,16,71,615,22313,1,2
壽山,1,1122.65,0,0,0,245,0,12.85,0,18.35,0,846.45,0,975,16,22,7,167,137,162,234,18,39,173,949,32,0,0,0,0,0,0,0,0,0,23,9,519,9948,12,548,22,1201,13,579,417,7485,55,135
